link_id,stone_id,observation_id,method,confidence,rationale,review_status
DR34:fortidsminder:117510,DR34,fortidsminder:117510,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR17:fortidsminder:118148,DR17,fortidsminder:118148,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR14:fortidsminder:118763,DR14,fortidsminder:118763,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR99:fortidsminder:120827,DR99,fortidsminder:120827,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR108:fortidsminder:125362,DR108,fortidsminder:125362,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR53:fortidsminder:125428,DR53,fortidsminder:125428,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR408:fortidsminder:126446,DR408,fortidsminder:126446,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR218:fortidsminder:130141,DR218,fortidsminder:130141,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DRAUD1995279:fortidsminder:136597,DRAUD1995279,fortidsminder:136597,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR202:fortidsminder:142413,DR202,fortidsminder:142413,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DRDKSJY77:fortidsminder:148553,DRDKSJY77,fortidsminder:148553,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR123:fortidsminder:164458,DR123,fortidsminder:164458,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR392:fortidsminder:188428,DR392,fortidsminder:188428,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR394:fortidsminder:188429,DR394,fortidsminder:188429,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR395:fortidsminder:188430,DR395,fortidsminder:188430,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR406:fortidsminder:188432,DR406,fortidsminder:188432,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR407:fortidsminder:188433,DR407,fortidsminder:188433,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR405:fortidsminder:188434,DR405,fortidsminder:188434,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
DR399:fortidsminder:188435,DR399,fortidsminder:188435,authoritative_external_identifier,high,Wikidata P3596 eller Samnordisk runtextdatabases danske HER-lokalitets-ID peger eksplicit på dette systemnummer i Fund og Fortidsminder.,imported
