stone_id,dr_number,wikidata_id,runor_id,name,period,scope,survival_status,record_status,record_note
DR118,DR 118,Q12337097,96edf55f-525d-49b8-86ed-9302dddc5c49,Stenaltstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR138,DR 138,Q12337665,8a1b746d-1626-4df2-baad-e6d31c90fc7b,Suldrupstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR82,DR 82,Q12338391,9e2fb4f1-978e-4255-9057-eb6fefd75aa1,Sønder Vinge-stenen 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR83,DR 83,Q12338392,5ea04dc3-8790-4f86-b63f-021dd13397ca,Sønder Vinge-stenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR56,DR 56,Q12338394,54199384-e677-4ec2-b671-d2c575e2a0e7,Sønder Vissing-stenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR191,DR 191,Q12338415,2aa9ae59-cabc-42c0-be35-a639df65272e,Sønderby-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR235,DR 235,Q12339965,9dc39646-7a7f-48f5-881b-25474c4943dc,Tårnborgstenen,middelalder,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR124,DR 124,Q12340769,2c239513-e618-4ff8-b370-6586e5d687bd,Vester Tørslev-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR110,DR 110,Q12341160,43f4c5f4-5ac4-4d98-ae1f-1b500142cfe6,Virring-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR98,DR 98,Q12342089,a0cd04bd-3742-4898-b1c7-1c831f7f0f44,Øster Bjerregrav-stenen 1,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR99,DR 99,Q12342090,0efb1b8c-128b-4a84-a031-46084ebe19df,Øster Bjerregrav-stenen 2,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR93,DR 93,Q12342108,2640f170-c9db-47a4-9e4b-cc4ecb110fd9,Øster Velling-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR36,DR 36,Q12342840,357f4e24-c106-45cf-9206-10ae9e07ed6a,Sønder Vilstrup-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR216,DR 216,Q12343216,dadb8761-02cb-4232-9b65-eeef3f75c93f,Tirstedstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR131,DR 131,Q12344293,880dbe8b-8861-4a99-865f-acb045718645,Års-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR109,DR 109,Q12344366,98bad85e-6fb5-447c-b424-014a51101d94,Øster Alling-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
Q124959546,,Q124959546,,Laurbjergstenen,vikingetid,present_day_denmark,unknown,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu."
DR26,DR 26,Q1308371,16590752-2403-45ed-95e8-e1b71f6d2e28,Læborg-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
NKJ81,N KJ81,Q131555051,daadf5b3-e7b2-4e39-ba81-fef07ed32a92,Igijos sten,vikingetid,present_day_denmark,unknown,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu."
DR401,DR 401,Q15052246,05fd5897-1c8c-42e1-bc65-7724e0aec8ab,Brogårdstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR248,DR 248,Q1517645,e0745510-b727-4f8c-87c0-85780e26368b,Snoldelevstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR218,DR 218,Q1557260,99f52fe5-e740-4c7a-8eaf-a1f2147e0686,Tågerup-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR209,DR 209,Q1578728,c77608b2-60c2-4fec-ba5d-d74755ad7c72,Glavendrupstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR230,DR 230,Q1605736,fd72a6cd-2803-4794-a306-d39d1cbb13e3,Tryggevældestenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR221,DR 221,Q16325069,b89e909a-7f2b-4d9a-9a49-c020a4344a90,Vordingborgstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR396,DR 396,Q16325175,e155a829-fa9b-4068-8912-160e3177ddef,Østermarie-alfabetstenen,vikingetid,present_day_denmark,unknown,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu."
DRNOR19885,DR NOR1988;5,Q1685112,f7493d73-3645-48dc-9dfe-ec5a90334298,Maltstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR155,DR 155,Q1719751,fc4ada66-c2a2-4676-a3db-75e3ebd0d2a5,Sjørring-stenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR39,DR 39,Q17489421,58e61187-3976-4bae-befe-e13cc5ccd4b3,Pjedstedstenen,middelalder,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR399,DR 399,Q19978705,bf8cf1b8-9e6b-429c-a7b0-0d20c9a7139f,Lundhøjstenen,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR41,DR 41,Q21162313,77c29407-9f90-4792-9881-7e8f22b30cd2,Store Jellingsten,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
DR42,DR 42,Q21162316,a4071a93-512a-47d0-b645-cb2757f08fe0,Lille Jellingsten,vikingetid,present_day_denmark,extant,imported,"Maskinelt importeret fra Wikidata. Posten er med, fordi P31 er Q24566025 og P17 er Danmark; den er ikke individuelt fagligt efterprøvet endnu. Matchet med Samnordisk runtextdatabas via DR-nummer."
